Car Discharge Estimation,Time of Trip,Diff Elevation,Mean Tempeture,Diff Batery
-7.964169381107492,4470,15.519999999999982,35.5,-9.0
-14.042345276872965,3176,236.1500000000001,31.0,-7.0
-23.403908794788272,2745,-167.43000000000006,30.0,-3.0
-1.8208469055374592,332,62.77999999999997,30.0,-1.0
-13.596091205211726,998,-131.33999999999992,29.0,0.0
-3.452768729641694,310,-6.3599999999999,29.5,0.0
-1.8534201954397393,182,3.519999999999982,43.5,-1.0
-8.267100977198696,3445,-1.9800000000000182,42.5,-7.0
-10.62214983713355,731,-3.9700000000000273,39.0,-1.0
-39.45928338762215,4678,-8.720000000000027,35.0,-7.0
-5.833876221498372,120,-9.230000000000018,33.0,0.0
-25.446254071661237,1336,29.450000000000045,31.0,-3.0
-0.8566775244299675,74,14.150000000000091,30.0,0.0
-46.83061889250814,1699,-40.18999999999983,24.5,-4.0
-8.762214983713354,180,3.839999999999918,25.5,-1.0
-13.120521172638437,374,34.73000000000002,25.5,-1.0
-0.6384364820846905,103,-1.4800000000000182,25.5,0.0
-5.022801302931596,934,9.409999999999854,25.5,35.0
-22.583061889250814,969,3.410000000000082,24.5,-3.0
-5.684039087947883,387,31.480000000000018,24.5,-1.0
-89.92508143322476,2534,1027.0399999999997,18.0,-26.0
-11.100977198697068,515,2.7800000000002,23.5,-2.0
-2.1042345276872965,59,-35.970000000000255,22.5,0.0
-75.98045602605863,1910,-908.1700000000001,29.5,-1.0
-10.149837133550488,384,-112.5,35.0,-1.0
-22.81758957654723,6367,167.47000000000003,40.5,-14.0
-24.205211726384366,1220,-163.67000000000007,38.5,-1.0
-8.964169381107492,744,20.590000000000146,24.5,0.0
-5.700325732899023,304,-15.709999999999809,37.0,0.0
-4.400651465798045,119,-14.210000000000036,38.5,0.0
-7.742671009771987,263,-16.180000000000064,40.0,0.0
-5.693811074918567,755,11.5,32.5,0.0
-6.996742671009772,381,1.990000000000009,32.0,0.0
-7.866449511400652,624,9.940000000000055,35.5,0.0
-4.5537459283387625,375,18.139999999999873,37.0,0.0
-6.482084690553746,354,-46.02999999999997,38.5,-2.0
-8.915309446254073,613,43.11999999999989,39.0,-2.0
-6.8957654723127035,359,-39.289999999999964,39.0,-1.0
-0.9804560260586319,76,1.1200000000001182,39.0,0.0
-10.192182410423452,739,32.200000000000045,33.0,-2.0
-3.977198697068404,595,54.18999999999983,33.0,-1.0
-1.0358306188925082,706,25.279999999999973,31.5,-1.0
-24.57328990228013,1522,-45.17000000000007,26.5,-3.0
-8.071661237785015,288,-37.12999999999988,25.5,0.0
-18.400651465798045,1024,88.26999999999998,25.5,-4.0
-8.49185667752443,413,-124.62999999999988,28.5,0.0
-9.172638436482085,734,-4.0,29.5,-1.0
-14.39413680781759,2436,72.77999999999997,39.5,-5.0
-6.469055374592834,757,-2.3299999999999272,38.5,-1.0
-14.09771986970684,1263,-70.2800000000002,38.5,-2.0
-7.869706840390879,218,1.4800000000000182,39.0,0.0
-6.599348534201955,95,0.7999999999999545,43.5,0.0
-12.814332247557003,1771,31.11999999999989,45.5,-2.0
-5.472312703583062,222,-15.049999999999955,43.5,0.0
-7.247557003257329,307,-17.019999999999982,43.5,0.0
-0.0,70,-0.10999999999989996,43.5,0.0
-12.192182410423452,434,24.580000000000155,44.0,-1.0
-11.149837133550488,355,87.61999999999989,43.5,-2.0
-0.8045602605863192,885,-1.9200000000000728,39.5,-1.0
-20.94788273615635,1313,-125.70999999999981,45.5,-2.0
-4.485342019543974,377,0.17000000000007276,47.0,-1.0
-40.00325732899023,1568,885.1499999999999,29.0,-16.0
-39.5928338762215,608,-601.97,22.5,3.0
-12.09771986970684,405,-280.99,25.5,1.0
-4.892508143322476,401,-92.55999999999995,29.0,0.0
-5.905537459283388,338,-27.29000000000019,35.5,-1.0
-4.322475570032573,225,3.3199999999999363,39.0,0.0
-0.8175895765472313,269,0.15000000000009095,37.5,0.0
-2.9055374592833876,476,34.319999999999936,39.5,-2.0
-0.9087947882736156,216,6.279999999999973,40.5,0.0
-3.198697068403909,204,80.43000000000006,40.5,-1.0
-1.228013029315961,102,-36.02999999999997,38.5,0.0
-6.664495114006515,256,-86.69000000000005,41.0,0.0
-10.90228013029316,401,9.440000000000055,43.0,-2.0
-18.93485342019544,1592,38.24000000000001,46.0,-2.0
-4.700325732899023,844,11.430000000000064,38.0,0.0
-2.3713355048859937,315,-13.190000000000055,34.5,-2.0
-4.472312703583062,246,10.5,48.0,-1.0
-4.657980456026059,356,11.699999999999818,49.0,-1.0
-8.879478827361563,1115,21.6099999999999,51.5,-2.0
-5.96742671009772,480,59.0,51.0,-2.0
-1.723127035830619,171,86.40000000000009,47.5,-2.0
-27.039087947882734,1113,-176.42000000000007,45.5,-1.0
-10.039087947882736,1481,21.419999999999845,40.0,-2.0
-15.710097719869706,1417,164.69000000000005,37.5,-5.0
-15.947882736156352,839,-212.73000000000002,33.0,0.0
-11.563517915309447,532,28.330000000000155,28.0,-2.0
-9.462540716612377,959,146.76999999999998,26.0,-3.0
-22.964169381107492,897,-185.0400000000002,29.0,-1.0
-2.566775244299674,198,-2.4400000000000546,29.0,0.0
-0.22149837133550487,42,0.3500000000001364,43.5,0.0
-4.752442996742671,828,11.650000000000091,48.0,-2.0
-8.905537459283387,859,20.86999999999989,48.5,-1.0
-0.8273615635179153,116,-0.18000000000006366,43.5,56.0
-0.8631921824104235,139,1.25,40.5,0.0
-0.8469055374592834,95,-0.40000000000009095,31.0,0.0
-47.36156351791531,2483,209.92000000000007,47.0,-7.0
-34.65798045602606,3163,278.49,33.0,-6.0
-34.25407166123779,290,-279.02,33.5,0.0
-149.32899022801303,4999,-1193.0369999999998,28.0,-4.0
-114.37785016286645,2367,595.3639999999999,32.5,-23.0
-0.04234527687296417,1325,-1.849999999999909,52.5,-3.0
-0.7166123778501629,243,-3.880000000000109,34.5,0.0
-0.504885993485342,71,-6.149999999999864,36.0,-1.0
-117.55374592833876,3079,-655.474,34.5,-11.0
-155.58957654723127,59,1207.125,30.0,-34.0
-45.26058631921824,1579,-209.64999999999986,47.0,-1.0
-4.244299674267101,437,-6.25,49.0,0.0
-7.7752442996742674,494,5.5,40.5,-1.0
-1.0488599348534202,110,-0.7400000000000091,27.0,0.0
-0.9543973941368078,31,0.5899999999999181,42.0,0.0
-4.706840390879479,823,-5.9099999999998545,50.0,-1.0
-0.3322475570032573,36,-0.5799999999999272,49.5,0.0
-12.576547231270359,1207,-32.210000000000036,47.5,0.0
-15.306188925081432,1168,-170.31999999999994,48.5,-1.0
-38.755700325732896,1931,37.32999999999993,50.5,-6.0
-16.749185667752442,1389,-13.039999999999964,47.0,-2.0
-11.221498371335505,1038,-14.710000000000036,45.0,-2.0
-2.3517915309446256,560,19.819999999999936,39.0,-1.0
-18.65798045602606,1226,20.75,35.0,-2.0
-41.68078175895766,2411,-37.26999999999998,33.5,-4.0
-24.811074918566774,3883,82.13999999999987,47.5,-6.0
-4.166123778501628,129,1.6700000000000728,49.0,0.0
-6.504885993485342,807,-9.059999999999945,48.5,-1.0
-17.153094462540718,1465,8.769999999999982,42.5,-3.0
-7.465798045602606,412,112.33000000000015,42.5,-2.0
-2.1368078175895766,3544,-4.060000000000173,39.0,-10.0
-8.996742671009772,598,-156.12000000000012,38.0,0.0
-8.990228013029316,602,30.230000000000018,39.5,-3.0
-1.8013029315960911,280,6.539999999999964,38.0,-1.0
-14.566775244299674,621,-7.669999999999845,41.5,-1.0
-1.521172638436482,310,2.939999999999827,43.0,-1.0
-8.876221498371336,761,-2.509999999999991,41.5,0.0
-2.1433224755700326,3630,14.509999999999991,35.0,-6.0
-0.5602605863192183,44,-4.970000000000027,34.5,0.0
-83.72964169381108,3950,599.0400000000002,31.5,-15.0
-4.605863192182411,144,4.2199999999998,27.5,-1.0
-3.413680781758958,136,-20.519999999999982,27.0,0.0
-31.006514657980457,1651,-27.949999999999818,24.5,-4.0
-11.136807817589576,387,-11.080000000000382,22.5,-1.0
-4.423452768729642,125,31.450000000000273,22.5,-1.0
-90.06188925081433,2114,-610.1999999999998,27.5,0.0
-5.7817589576547235,624,-8.25,33.0,-2.0
-13.830618892508143,992,1.8599999999999,47.5,-2.0
-1.4006514657980456,359,-2.1499999999998636,43.0,-1.0
-38.28990228013029,2215,135.52999999999997,42.5,-5.0
-22.21498371335505,1217,204.85000000000014,27.0,-5.0
-42.34527687296417,3666,-339.78999999999996,33.5,-2.0
-8.166123778501628,1743,0.8099999999999454,35.0,0.0
-3.820846905537459,339,10.86999999999989,43.5,-1.0
-9.726384364820847,312,31.319999999999936,43.5,-1.0
-12.60586319218241,868,123.79999999999995,41.5,-3.0
-1.1140065146579805,225,34.66000000000008,30.0,-1.0
-0.9153094462540716,213,-11.0,30.0,0.0
-15.827361563517915,836,37.37999999999988,29.5,-3.0
-2.241042345276873,53,-11.559999999999945,30.0,0.0
-14.407166123778502,1556,-31.419999999999845,28.5,-3.0
-12.045602605863191,633,-43.289999999999964,27.0,0.0
-13.11400651465798,533,-104.15000000000009,35.5,-1.0
-11.09771986970684,857,-54.0,42.0,-1.0
-0.06514657980456026,87,-0.01999999999998181,45.0,-1.0
-12.739413680781759,2076,50.58999999999992,40.5,-2.0
-1.3941368078175895,113,3.0399999999999636,36.5,0.0
-1.3745928338762214,64,3.150000000000091,36.0,0.0
-5.970684039087948,543,-9.730000000000018,36.0,-1.0
-0.6449511400651465,180,-1.7999999999999545,36.0,0.0
-9.351791530944626,891,-25.579999999999927,33.0,-1.0
-11.788273615635179,425,21.059999999999945,33.0,-1.0
-19.094462540716613,1362,4.269999999999982,34.0,-3.0
-18.009771986970684,670,-45.33999999999992,26.5,-2.0
-9.03257328990228,1622,28.940000000000055,26.0,-3.0
-5.100977198697068,642,2.509999999999991,37.5,-1.0
-3.478827361563518,196,11.300000000000182,37.5,0.0
-5.166123778501628,608,-19.169999999999845,38.5,-1.0
-6.687296416938111,552,109.11999999999989,37.0,-3.0
-15.504885993485342,1156,-125.8900000000001,36.5,0.0
-0.32247557003257327,92,-3.9299999999998363,37.5,0.0
-0.9739413680781759,58,-2.790000000000191,34.5,0.0
-6.423452768729642,192,-9.180000000000064,34.5,-1.0
-2.1042345276872965,485,8.079999999999927,33.5,-1.0
-0.08143322475570032,973,0.8100000000001728,33.0,-1.0
-3.0684039087947883,480,9.049999999999955,33.5,-1.0
-3.7100977198697067,240,-9.190000000000055,32.0,0.0
-0.13029315960912052,629,1.900000000000091,28.0,-2.0
-2.2866449511400653,131,17.62999999999988,26.5,-1.0
-17.78501628664495,1186,476.66999999999985,22.0,-18.0
-14.785016286644952,375,-381.47,22.5,0.0
-3.0586319218241043,71,-73.54999999999995,24.0,0.0
-3.9022801302931596,206,-46.899999999999864,25.0,-1.0
-12.765472312703583,2227,33.01999999999998,42.5,-3.0
-14.286644951140065,2138,149.35000000000014,31.0,-2.0
-14.348534201954397,938,-150.12000000000012,27.0,0.0
-0.5179153094462541,54,-0.8699999999998909,25.5,0.0
-41.36482084690554,2918,-26.549999999999955,25.5,-7.0
-48.57328990228013,1656,61.33999999999992,24.5,-7.0
-17.44299674267101,1027,-45.0,26.5,-2.0
-15.749185667752442,1373,37.559999999999945,27.0,-2.0
-0.42671009771986973,91,-2.4500000000000455,26.0,0.0
-16.42671009771987,1551,122.15000000000009,25.5,-4.0
-18.729641693811075,1153,-119.98000000000002,33.0,-1.0
-16.77198697068404,1643,184.8900000000001,35.5,-5.0
-15.648208469055374,428,-24.919999999999845,38.0,-2.0
-19.094462540716613,1192,157.5,37.0,-4.0
-25.78827361563518,1466,-175.0,34.5,-2.0
-0.3355048859934853,180,-0.9500000000000455,37.5,-4.0
-21.185667752442995,2354,88.38000000000011,40.0,-4.0
-11.100977198697068,786,-15.980000000000018,41.0,-1.0
-0.20846905537459284,204,0.25,40.5,-1.0
-19.061889250814332,1801,12.38000000000011,33.0,-3.0
-12.859934853420196,268,58.25999999999999,29.0,-3.0
